,location,job_title,company,summary
66,Thành phố Hồ Chí Minh,Data scientist/analyst,CÔNG TY CỔ PHẦN GIẢI PHÁP GENE,"['Website tìm việc làm 123job.vn cập nhật tin Data scientist/analyst cách đây lúc 2020-02-24 02:00:01.', '# Bạn đang xem tin việc làm Data scientist/analyst trong…']"
67,Thành phố Hồ Chí Minh,Business Analyst,Công ty Cổ phần Hàng không VietJet,"['Manage and elaborate requirements into user stories and acceptance criteria, define data model evolution, business workflow, reference and demo data.']"
68,Hà Nội,Chuyên viên phân tích dữ liệu (Data Analyst),Admicro,"['Phân tích, đọc ý nghĩa của các data, đưa ra báo cáo kết luận nhằm mục đích bổ trợ cho các quyết định kinh doanh, marketing của khách hàng doanh nghiệp.']"
69,Thành phố Hồ Chí Minh,Chuyên Viên Phân Tích Dữ Liệu/Data Analyst,JET COMMERCE VIETNAM,"['Website tìm việc làm 123job.vn cập nhật tin Chuyên Viên Phân Tích Dữ Liệu/Data Analyst cách đây lúc 2020-03-23 12:40:01.', 'Lọc, xóa các dữ liệu không chính quy.']"
70,Thành phố Hồ Chí Minh,Corporate Planning Analyst,DAIKIN AIR CONDITINOING,"['Website tìm việc làm 123job.vn cập nhật tin Corporate Planning Analyst cách đây lúc 2020-02-19 18:10:02.', 'Collect, understand and interpret data relating to…']"
71,Thành phố Hồ Chí Minh,Business Analyst,BeyondEdge,"['Experience in the UML design and data modeling.', 'Depending on scope, can assume project management and business analyst role on project engagements as needed, as…']"
72,Thành phố Hồ Chí Minh,Market Research Executive,VNG,"['Synthesize current business intelligence or trend data to support recommendations for action.', 'Collect business intelligence data from available industry reports…']"
73,Thành phố Hồ Chí Minh,Digital Data Analyst (SQL),Vietnam International Bank (VIB),"['Thiết lập và duy trì cơ sở dữ liệu của các sản phẩm kỹ thuật số bao gồm:', 'Website, mobile app, internet banking, intranet và các sản phẩm khác trong tương lai;']"
74,Thành phố Hồ Chí Minh,Data Analyst,CÔNG TY TNHH COMMEASURE SOLUTIONS VIỆT NAM,"['Website tìm việc làm 123job.vn cập nhật tin Data Analyst cách đây lúc 2020-02-20 12:50:01.', 'Substantial hands-on experience with data handling.']"
75,Thành phố Hồ Chí Minh,Data Analyst (SQL),TYME DIGITAL,"['4+ years experience as a data analyst, reporting data analytics is preferred.', 'Gather and Input Data from several Data sources.', 'Then let become our teammate!']"
